Timestamp, CPU Usage (%), Memory Usage (MB), Bytes Sent (MB), Bytes Received (MB), Sent Rate (MB/s), Receive Rate (MB/s)
2024-07-06 11:50:13,4336.199999999999,19387.76,482267.75,1243889.89,103.55,103.54
2024-07-06 11:50:14,4225.6,19392.30,482395.53,1244017.67,127.78,127.78
2024-07-06 11:50:15,4431.9000000000015,19390.96,482406.24,1244028.39,10.72,10.72
2024-07-06 11:50:16,4449.699999999998,19390.75,482406.29,1244028.43,0.04,0.04
2024-07-06 11:50:17,3906.6999999999985,19394.04,482541.69,1244163.84,135.41,135.41
2024-07-06 11:50:18,4146.4,19409.49,482740.42,1244362.57,198.73,198.74
2024-07-06 11:50:19,4273.099999999999,19383.72,482816.00,1244438.14,75.57,75.57
2024-07-06 11:50:20,3835.5,19658.75,482972.54,1244594.69,156.54,156.54
2024-07-06 11:50:21,1360.1000000000004,20305.91,483051.24,1244673.39,78.71,78.70
2024-07-06 11:50:22,4299.6,20336.64,483133.24,1244755.39,80.55,80.56
2024-07-06 11:50:23,4445.400000000002,20307.86,483133.28,1244755.43,0.04,0.04
2024-07-06 11:50:24,4455.499999999999,20310.23,483133.52,1244755.67,0.23,0.24
2024-07-06 11:50:25,4428.799999999997,20303.99,483133.61,1244755.76,0.09,0.09
2024-07-06 11:50:26,4450.600000000002,20304.11,483133.65,1244755.80,0.04,0.04
2024-07-06 11:50:27,4444.499999999999,20311.19,483133.69,1244755.84,0.04,0.04
2024-07-06 11:50:28,4478.299999999997,20308.73,483133.73,1244755.89,0.04,0.04
2024-07-06 11:50:29,4263.000000000001,20326.81,483190.79,1244812.94,57.05,57.05
2024-07-06 11:50:30,4321.699999999999,20323.16,483365.07,1244987.23,174.29,174.29
2024-07-06 11:50:31,4331.2,20305.80,483396.63,1245018.79,31.56,31.56
2024-07-06 11:50:32,4430.699999999999,20306.30,483428.01,1245050.16,31.37,31.37
2024-07-06 11:50:33,4421.5999999999985,20306.79,483586.12,1245208.28,158.12,158.12
2024-07-06 11:50:34,4381.799999999999,20321.19,483637.62,1245259.78,51.50,51.50
2024-07-06 11:50:35,4436.799999999997,20304.09,483676.88,1245299.04,39.26,39.26
2024-07-06 11:50:36,4224.499999999999,20304.30,483931.72,1245553.87,254.83,254.83
2024-07-06 11:50:37,4346.2,20298.28,484007.68,1245629.84,75.96,75.96
2024-07-06 11:50:38,4367.099999999999,20298.74,484039.56,1245661.72,31.88,31.88
2024-07-06 11:50:40,3843.6,20298.98,484084.62,1245706.78,45.06,45.06
2024-07-06 11:50:41,1819.1000000000001,20407.73,484128.58,1245750.73,43.96,43.95
2024-07-06 11:50:42,4273.3,20414.12,484355.17,1245977.33,226.59,226.59
2024-07-06 11:50:43,4438.700000000002,20406.33,484372.75,1245994.90,17.40,17.40
2024-07-06 11:50:44,4478.700000000002,20405.87,484372.79,1245994.95,0.04,0.05
2024-07-06 11:50:45,4471.700000000002,20406.64,484372.83,1245994.99,0.04,0.04
2024-07-06 11:50:46,4456.399999999998,20415.62,484372.87,1245995.03,0.04,0.04
2024-07-06 11:50:47,4522.299999999997,20416.08,484372.91,1245995.07,0.04,0.04
2024-07-06 11:50:48,4474.999999999999,20427.53,484414.19,1246036.35,41.28,41.28
2024-07-06 11:50:49,4384.899999999999,20438.58,484571.31,1246193.47,157.12,157.12
2024-07-06 11:50:50,4395.999999999999,20424.29,484614.70,1246236.86,43.39,43.39
2024-07-06 11:50:51,4435.499999999998,20422.25,484635.97,1246258.12,21.26,21.26
2024-07-06 11:50:52,4467.099999999998,20422.48,484657.11,1246279.27,21.15,21.15
2024-07-06 11:50:53,4417.099999999999,20422.36,484747.22,1246369.38,90.05,90.05
2024-07-06 11:50:54,4407.3,20424.53,484898.67,1246520.83,150.90,150.90
2024-07-06 11:50:55,4367.0999999999985,20420.08,485134.55,1246756.70,235.88,235.87
2024-07-06 11:50:56,4414.799999999999,20443.16,485222.59,1246844.75,88.04,88.04
2024-07-06 11:50:57,4473.299999999999,20410.88,485240.10,1246862.26,16.98,16.98
2024-07-06 11:50:58,2585.1,20616.04,485270.41,1246892.57,30.31,30.31
2024-07-06 11:50:59,2598.3000000000006,20700.67,485286.33,1246908.49,15.92,15.92
2024-07-06 11:51:00,4542.699999999998,20709.04,485344.52,1246966.67,58.18,58.18
2024-07-06 11:51:01,4416.4,20739.20,485542.09,1247164.25,197.58,197.58
2024-07-06 11:51:02,4495.800000000001,20721.71,485606.95,1247229.13,61.31,61.33
2024-07-06 11:51:03,4592.6,20722.62,485607.04,1247229.23,0.09,0.10
2024-07-06 11:51:04,4558.399999999999,20736.86,485607.09,1247229.28,0.05,0.05
2024-07-06 11:51:05,4554.5,20741.77,485607.14,1247229.33,0.05,0.05
2024-07-06 11:51:06,4488.399999999998,20746.18,485691.25,1247313.44,84.11,84.11
2024-07-06 11:51:07,4425.699999999999,20761.09,485777.37,1247399.55,85.62,85.62
2024-07-06 11:51:08,4518.699999999999,20742.50,485828.45,1247450.65,51.08,51.09
2024-07-06 11:51:09,4485.2,20742.79,485872.13,1247494.35,43.68,43.70
2024-07-06 11:51:10,4498.7,20743.74,485872.24,1247494.47,0.11,0.13
2024-07-06 11:51:12,4469.499999999999,20745.34,485950.72,1247572.95,78.48,78.48
2024-07-06 11:51:13,4435.6,20744.73,486125.00,1247747.23,174.28,174.28
2024-07-06 11:51:14,4392.1,20761.95,486315.12,1247937.35,190.12,190.12
2024-07-06 11:51:15,2982.800000000001,20755.62,486400.53,1248022.76,85.40,85.40
2024-07-06 11:51:16,2429.4999999999995,20760.11,486431.28,1248053.51,30.75,30.75
2024-07-06 11:51:17,4470.399999999998,20752.29,486462.51,1248084.74,31.23,31.23
2024-07-06 11:51:18,4398.5,20747.39,486493.35,1248115.58,30.84,30.84
2024-07-06 11:51:19,4490.599999999999,20747.03,486584.95,1248207.19,91.60,91.61
2024-07-06 11:51:20,4476.699999999999,20747.39,486630.87,1248253.10,45.92,45.91
2024-07-06 11:51:21,4416.399999999999,20747.62,486745.34,1248367.57,114.47,114.47
2024-07-06 11:51:22,4319.999999999999,20747.92,486842.58,1248464.82,96.72,96.71
2024-07-06 11:51:23,4543.799999999999,20748.15,486843.27,1248465.32,0.68,0.50
2024-07-06 11:51:24,4492.999999999998,20747.11,486885.39,1248507.44,42.13,42.12
2024-07-06 11:51:25,4374.7,20746.75,486940.47,1248562.52,55.07,55.08
2024-07-06 11:51:26,4438.699999999998,20747.02,487001.89,1248623.94,59.03,59.02
2024-07-06 11:51:27,4519.799999999999,20747.74,487043.45,1248665.50,41.56,41.56
2024-07-06 11:51:28,4465.699999999999,20747.98,487075.20,1248697.25,31.75,31.74
2024-07-06 11:51:29,4481.099999999999,20747.20,487112.74,1248734.80,37.55,37.55
2024-07-06 11:51:30,4413.999999999999,20746.89,487195.77,1248817.82,83.03,83.03
2024-07-06 11:51:31,4427.399999999999,20761.27,487379.45,1249001.50,183.68,183.68
2024-07-06 11:51:32,4415.699999999999,20759.45,487462.51,1249084.55,81.98,81.98
2024-07-06 11:51:33,1819.1000000000004,20757.37,487498.42,1249120.47,35.85,35.85
2024-07-06 11:51:34,4427.5,20760.56,487565.58,1249187.62,67.15,67.15
2024-07-06 11:51:35,4376.099999999999,20747.85,487638.18,1249260.23,72.61,72.61
2024-07-06 11:51:36,4437.5999999999985,20752.50,487724.59,1249346.64,86.31,86.31
2024-07-06 11:51:37,4513.899999999998,20750.16,487749.40,1249371.45,24.81,24.81
2024-07-06 11:51:38,4480.5,20751.21,487846.26,1249468.30,96.68,96.68
2024-07-06 11:51:39,4474.0999999999985,20764.80,487878.04,1249500.09,31.79,31.79
2024-07-06 11:51:40,4515.699999999998,20773.96,487900.73,1249522.78,22.69,22.68
2024-07-06 11:51:41,4490.899999999999,20781.68,487996.02,1249618.07,95.29,95.29
2024-07-06 11:51:42,4299.599999999999,20785.19,488098.79,1249720.83,102.77,102.77
2024-07-06 11:51:43,4479.799999999999,20780.05,488173.77,1249795.82,70.89,70.89
2024-07-06 11:51:44,4429.099999999999,20786.10,488205.70,1249827.75,31.93,31.93
2024-07-06 11:51:45,4316.0,20791.20,488226.32,1249848.36,20.62,20.62
2024-07-06 11:51:46,4416.0,20797.93,488247.16,1249869.21,20.84,20.84
2024-07-06 11:51:47,4362.199999999998,20808.27,488386.91,1250008.96,139.75,139.75
2024-07-06 11:51:48,4314.299999999998,20802.35,488522.19,1250144.23,135.28,135.27
