Timestamp, CPU Usage (%), Memory Usage (MB), Bytes Sent (MB), Bytes Received (MB), Sent Rate (MB/s), Receive Rate (MB/s)
2024-06-26 15:44:24,1.2,5622.99,56256.38,432240.09,0.01,0.01
2024-06-26 15:44:25,1.3,5626.75,56256.39,432240.10,0.01,0.01
2024-06-26 15:44:26,14.9,5623.03,56256.40,432240.10,0.00,0.00
2024-06-26 15:44:27,3.1,5700.45,56256.40,432240.11,0.01,0.01
2024-06-26 15:44:28,2.3,5767.97,56256.41,432240.16,0.01,0.06
2024-06-26 15:44:29,4.9,5968.29,56256.43,432240.18,0.01,0.01
2024-06-26 15:44:30,3.8,6124.84,56256.44,432240.20,0.02,0.02
2024-06-26 15:44:31,3.4,6140.39,56256.45,432240.20,0.00,0.00
2024-06-26 15:44:32,3.4,6141.62,56256.45,432240.20,0.00,0.00
2024-06-26 15:44:33,3.9,6145.93,56256.46,432240.21,0.01,0.01
2024-06-26 15:44:34,3.4,6141.70,56256.47,432240.22,0.01,0.01
2024-06-26 15:44:35,3.4,6142.21,56256.48,432240.23,0.01,0.01
2024-06-26 15:44:36,27.3,6219.71,56256.50,432240.25,0.02,0.02
2024-06-26 15:44:37,52.4,7918.29,56256.91,432240.66,0.41,0.41
2024-06-26 15:44:38,9.8,9533.82,56257.04,432240.89,0.13,0.22
2024-06-26 15:44:39,39.8,9686.91,56257.64,432241.49,0.60,0.60
2024-06-26 15:44:40,74.1,11521.44,56258.74,432242.59,1.10,1.10
2024-06-26 15:44:41,68.7,14083.00,56259.70,432266.70,0.96,24.11
2024-06-26 15:44:42,25.1,15767.41,56262.29,432384.95,2.59,118.16
2024-06-26 15:44:43,18.2,16189.66,56264.85,432503.41,2.56,118.36
2024-06-26 15:44:44,21.1,16385.09,56267.37,432622.44,2.52,118.94
2024-06-26 15:44:46,22.9,16949.10,56269.85,432740.94,2.47,118.43
2024-06-26 15:44:47,25.2,17512.55,56272.47,432859.27,2.62,118.27
2024-06-26 15:44:48,27.5,17003.58,56275.29,432977.85,2.83,118.50
2024-06-26 15:44:49,45.5,17888.44,56278.25,433096.58,2.96,118.66
2024-06-26 15:44:50,48.6,19855.30,56280.62,433215.01,2.37,118.34
2024-06-26 15:44:51,54.5,20901.30,56282.15,433296.07,1.53,80.97
2024-06-26 15:44:52,57.8,23364.97,56282.85,433296.83,0.70,0.76
2024-06-26 15:44:53,35.6,24705.20,56284.24,433334.29,1.39,37.46
2024-06-26 15:44:54,37.7,23146.36,56285.99,433434.78,1.75,100.40
2024-06-26 15:44:55,44.1,23265.50,56287.00,433436.03,1.01,1.26
2024-06-26 15:44:56,33.5,22852.44,56287.95,433437.36,0.93,1.30
2024-06-26 15:44:57,59.3,21735.59,56291.09,433508.73,3.14,71.37
2024-06-26 15:44:58,41.4,20938.16,56294.07,433627.75,2.98,118.94
2024-06-26 15:44:59,27.0,22008.80,56296.65,433746.26,2.58,118.42
2024-06-26 15:45:00,18.9,22461.38,56299.23,433864.88,2.58,118.54
2024-06-26 15:45:01,23.1,22626.25,56301.61,433983.03,2.38,118.06
2024-06-26 15:45:02,33.2,23612.61,56304.34,434101.59,2.73,118.46
2024-06-26 15:45:03,52.3,23798.75,56306.58,434225.05,2.23,123.35
2024-06-26 15:45:04,48.7,25199.89,56308.54,434342.74,1.96,117.60
2024-06-26 15:45:05,57.0,25462.98,56310.05,434429.12,1.51,86.26
2024-06-26 15:45:06,66.3,26563.56,56312.44,434509.96,2.39,80.84
2024-06-26 15:45:07,43.5,28613.68,56315.33,434628.23,2.89,118.16
2024-06-26 15:45:08,56.4,27333.00,56316.80,434703.36,1.47,75.08
2024-06-26 15:45:09,54.3,28176.75,56319.62,434821.97,2.82,118.52
2024-06-26 15:45:10,46.6,27990.61,56322.35,434940.12,2.73,118.07
2024-06-26 15:45:11,52.7,27092.64,56324.67,435057.87,2.31,117.63
2024-06-26 15:45:12,56.6,28065.43,56327.53,435176.65,2.86,118.67
2024-06-26 15:45:13,52.5,28736.29,56330.44,435295.78,2.90,119.03
2024-06-26 15:45:14,49.2,28846.68,56333.82,435417.35,3.38,121.46
2024-06-26 15:45:15,45.6,28344.34,56336.72,435535.75,2.90,118.32
2024-06-26 15:45:16,48.4,29206.88,56339.54,435654.02,2.82,118.17
2024-06-26 15:45:17,47.3,30177.33,56343.00,435774.00,3.46,119.91
2024-06-26 15:45:18,47.3,29711.56,56345.85,435892.65,2.85,118.56
2024-06-26 15:45:19,51.4,30959.62,56348.50,436010.94,2.65,118.21
2024-06-26 15:45:20,49.1,32016.09,56351.06,436128.80,2.56,117.79
2024-06-26 15:45:21,48.4,31943.36,56353.63,436247.36,2.57,118.46
2024-06-26 15:45:23,56.6,32226.59,56355.96,436365.64,2.33,118.22
2024-06-26 15:45:24,60.1,32427.82,56358.37,436483.78,2.40,118.05
2024-06-26 15:45:25,59.0,33474.32,56360.79,436602.40,2.42,118.54
2024-06-26 15:45:26,48.7,34243.75,56363.08,436719.98,2.29,117.49
2024-06-26 15:45:27,55.6,34363.96,56365.52,436838.50,2.44,118.43
2024-06-26 15:45:28,59.8,34538.54,56368.59,436957.84,3.07,119.24
2024-06-26 15:45:29,60.1,35038.17,56371.88,437076.83,3.28,118.90
2024-06-26 15:45:30,58.2,36264.52,56375.01,437196.19,3.12,119.25
2024-06-26 15:45:31,55.3,35936.67,56378.15,437315.35,3.14,119.07
2024-06-26 15:45:32,53.0,35804.02,56381.09,437434.22,2.94,118.78
2024-06-26 15:45:33,50.5,35766.50,56384.08,437553.32,2.98,119.03
2024-06-26 15:45:34,48.6,36954.42,56386.96,437672.69,2.87,119.27
2024-06-26 15:45:35,44.6,37516.17,56390.64,437824.58,3.68,151.79
2024-06-26 15:45:36,44.5,38046.30,56393.68,437944.56,3.04,119.88
2024-06-26 15:45:37,53.4,37290.83,56396.29,438063.10,2.60,118.46
2024-06-26 15:45:38,44.3,40636.35,56399.60,438182.33,3.31,119.11
2024-06-26 15:45:39,55.8,41195.51,56401.63,438284.26,2.02,101.85
2024-06-26 15:45:40,50.9,40979.21,56403.62,438401.75,1.99,117.39
2024-06-26 15:45:41,54.1,42617.83,56404.70,438458.04,1.09,56.22
2024-06-26 15:45:42,41.8,43366.24,56407.21,438576.03,2.51,117.90
2024-06-26 15:45:43,39.2,42813.27,56408.47,438635.82,1.26,59.71
2024-06-26 15:45:44,51.0,43095.48,56409.77,438670.86,1.30,35.04
2024-06-26 15:45:45,38.6,43600.71,56412.78,438789.03,3.00,118.11
2024-06-26 15:45:46,50.2,42142.25,56416.40,438907.99,3.62,118.87
2024-06-26 15:45:47,43.3,41686.32,56419.61,439027.33,3.21,119.26
2024-06-26 15:45:48,51.9,41777.52,56421.77,439135.82,2.15,108.40
2024-06-26 15:45:49,45.8,43446.37,56424.66,439252.04,2.89,116.17
2024-06-26 15:45:51,41.7,44436.20,56427.61,439370.92,2.95,118.79
2024-06-26 15:45:52,49.8,43683.96,56430.29,439489.33,2.68,118.33
2024-06-26 15:45:53,53.0,44773.38,56433.43,439653.84,3.15,164.42
2024-06-26 15:45:54,53.9,46499.01,56435.98,439771.88,2.54,117.92
2024-06-26 15:45:55,58.8,46312.21,56438.43,439893.60,2.45,121.63
2024-06-26 15:45:56,57.0,46206.00,56441.13,440011.87,2.70,118.16
2024-06-26 15:45:57,60.2,46139.83,56443.60,440128.20,2.47,116.25
2024-06-26 15:45:58,56.1,46229.89,56446.39,440246.72,2.78,118.43
2024-06-26 15:45:59,53.8,44963.10,56449.26,440364.94,2.87,118.16
2024-06-26 15:46:00,58.0,44244.53,56452.02,440483.25,2.76,118.22
2024-06-26 15:46:01,38.4,45716.86,56454.83,440601.96,2.80,118.61
2024-06-26 15:46:02,49.2,45504.04,56457.65,440720.34,2.82,118.28
2024-06-26 15:46:03,51.6,45556.50,56460.50,440838.47,2.85,118.06
2024-06-26 15:46:04,51.8,44994.01,56463.89,440957.61,3.39,119.04
2024-06-26 15:46:05,48.4,44068.07,56466.70,441075.88,2.81,118.15
2024-06-26 15:46:06,49.9,45202.18,56469.68,441195.00,2.98,119.03
2024-06-26 15:46:07,46.6,45673.54,56472.96,441314.58,3.28,119.48
2024-06-26 15:46:08,49.9,45192.43,56475.43,441423.97,2.46,109.32
2024-06-26 15:46:09,47.6,44585.64,56477.93,441540.50,2.50,116.48
2024-06-26 15:46:10,44.9,45986.30,56480.46,441658.72,2.53,118.13
2024-06-26 15:46:11,51.1,47636.37,56483.19,441776.66,2.72,117.88
2024-06-26 15:46:12,54.3,46544.57,56485.65,441894.63,2.47,117.88
2024-06-26 15:46:14,56.4,46615.09,56488.15,442002.69,2.49,107.97
2024-06-26 15:46:15,55.1,46873.11,56489.49,442058.37,1.34,55.68
2024-06-26 15:46:16,45.7,47266.80,56491.48,442175.63,1.99,117.18
2024-06-26 15:46:17,46.2,45955.51,56494.71,442294.50,3.23,118.77
2024-06-26 15:46:18,56.8,45299.56,56498.07,442413.26,3.36,118.66
2024-06-26 15:46:19,61.1,45131.46,56500.33,442515.77,2.26,102.43
2024-06-26 15:46:20,39.8,45812.06,56503.29,442634.13,2.95,118.28
2024-06-26 15:46:21,44.1,46977.88,56506.53,442753.62,3.25,119.40
2024-06-26 15:46:22,46.9,44987.52,56509.27,442872.28,2.74,118.57
2024-06-26 15:46:23,52.2,46652.60,56512.62,442991.23,3.35,118.86
2024-06-26 15:46:24,52.0,46033.91,56515.26,443110.16,2.64,118.84
2024-06-26 15:46:25,40.7,46835.25,56517.68,443227.75,2.42,117.53
2024-06-26 15:46:26,33.1,45505.03,56519.89,443345.01,2.20,117.19
2024-06-26 15:46:27,23.8,43221.70,56521.67,443461.70,1.78,116.61
2024-06-26 15:46:28,29.7,42829.75,56522.71,443533.45,1.04,71.67
2024-06-26 15:46:29,58.9,43986.26,56524.29,443535.03,1.58,1.58
2024-06-26 15:46:30,97.7,46186.27,56525.40,443536.14,1.11,1.11
2024-06-26 15:46:31,98.7,48653.12,56526.26,443537.95,0.85,1.82
2024-06-26 15:46:32,97.7,49868.83,56527.83,443541.56,1.57,3.58
2024-06-26 15:46:33,98.5,52444.32,56529.09,443542.88,1.26,1.33
2024-06-26 15:46:34,94.9,55395.63,56530.15,443546.87,1.06,3.99
2024-06-26 15:46:35,92.1,57861.44,56531.27,443548.23,1.11,1.36
2024-06-26 15:46:36,74.5,60152.94,56532.61,443551.38,1.34,3.15
2024-06-26 15:46:38,75.3,59652.21,56534.15,443553.67,1.53,2.28
2024-06-26 15:46:39,80.8,59220.02,56535.17,443555.19,1.03,1.52
2024-06-26 15:46:40,73.2,60864.24,56537.03,443557.92,1.85,2.73
2024-06-26 15:46:41,55.4,57944.77,56539.58,443561.15,2.55,3.23
2024-06-26 15:46:42,57.0,58569.27,56540.39,443562.21,0.81,1.06
2024-06-26 15:46:43,46.7,55679.04,56541.07,443563.32,0.68,1.12
2024-06-26 15:46:44,41.4,53138.99,56541.58,443563.83,0.51,0.50
2024-06-26 15:46:45,41.5,49822.71,56542.10,443564.35,0.52,0.52
2024-06-26 15:46:46,41.1,46649.79,56542.58,443564.82,0.47,0.47
2024-06-26 15:46:47,60.1,42046.65,56544.06,443608.82,1.48,43.99
2024-06-26 15:46:48,81.9,42968.59,56546.11,443726.84,2.06,117.93
2024-06-26 15:46:49,84.9,45896.92,56548.09,443824.17,1.97,97.24
2024-06-26 15:46:50,25.8,48671.84,56551.32,443943.49,3.23,119.24
2024-06-26 15:46:51,17.6,46304.97,56553.95,444061.96,2.63,118.37
2024-06-26 15:46:52,24.1,46609.56,56556.72,444180.94,2.77,118.92
2024-06-26 15:46:53,19.3,46126.61,56559.23,444299.23,2.51,118.22
2024-06-26 15:46:54,32.9,46389.91,56561.49,444417.41,2.26,118.11
2024-06-26 15:46:55,37.0,48644.69,56564.06,444536.20,2.57,118.70
2024-06-26 15:46:56,41.9,47352.20,56566.77,444654.54,2.71,118.25
2024-06-26 15:46:57,54.5,45861.13,56569.21,444772.31,2.44,117.69
2024-06-26 15:46:58,52.4,48172.03,56572.25,444890.63,3.04,118.24
2024-06-26 15:46:59,63.8,48062.34,56574.93,445008.94,2.68,118.24
2024-06-26 15:47:00,55.1,48855.36,56577.32,445126.30,2.38,117.25
2024-06-26 15:47:01,49.7,48777.92,56578.60,445174.98,1.28,48.57
2024-06-26 15:47:02,49.1,47901.75,56579.79,445196.11,1.19,21.12
2024-06-26 15:47:03,36.2,47049.56,56582.09,445313.84,2.30,117.67
2024-06-26 15:47:04,46.7,46266.23,56584.59,445431.59,2.50,117.66
2024-06-26 15:47:05,40.6,45557.99,56587.31,445550.14,2.72,118.45
2024-06-26 15:47:06,42.7,46518.35,56590.94,445670.00,3.63,119.78
2024-06-26 15:47:08,39.3,46451.49,56594.28,445789.40,3.34,119.31
2024-06-26 15:47:09,41.3,46338.94,56597.14,445908.17,2.86,118.69
2024-06-26 15:47:10,46.2,46005.91,56599.79,446026.47,2.65,118.24
2024-06-26 15:47:11,49.9,47868.20,56602.65,446144.93,2.86,118.37
2024-06-26 15:47:12,49.9,46818.84,56605.37,446263.87,2.72,118.81
2024-06-26 15:47:13,56.5,46612.99,56608.45,446428.72,3.08,164.76
2024-06-26 15:47:14,59.6,48117.36,56611.16,446547.51,2.71,118.68
2024-06-26 15:47:15,50.6,48437.08,56613.86,446666.07,2.70,118.47
2024-06-26 15:47:16,56.8,47192.14,56616.66,446784.16,2.79,117.99
2024-06-26 15:47:17,63.9,46668.05,56619.68,446902.22,3.02,118.00
2024-06-26 15:47:18,62.0,46822.89,56622.60,447021.23,2.92,118.92
2024-06-26 15:47:19,58.3,46655.52,56625.39,447139.60,2.79,118.31
2024-06-26 15:47:20,52.4,45924.88,56628.19,447258.69,2.80,118.98
2024-06-26 15:47:21,41.9,46039.53,56631.06,447377.82,2.86,119.03
2024-06-26 15:47:22,44.3,46874.08,56634.01,447496.54,2.95,118.63
2024-06-26 15:47:23,40.6,46745.76,56636.80,447615.28,2.79,118.65
2024-06-26 15:47:24,46.0,46621.02,56640.28,447734.42,3.48,119.05
2024-06-26 15:47:25,53.9,47541.59,56643.06,447854.04,2.78,119.53
2024-06-26 15:47:26,49.3,47827.27,56645.57,447972.53,2.50,118.39
2024-06-26 15:47:27,57.6,47129.83,56648.45,448091.46,2.88,118.85
2024-06-26 15:47:28,59.9,46426.23,56651.33,448210.47,2.88,118.94
2024-06-26 15:47:29,59.3,46848.69,56653.73,448328.49,2.40,117.96
2024-06-26 15:47:31,49.6,47335.38,56656.25,448447.40,2.52,118.81
2024-06-26 15:47:32,53.4,48314.74,56658.82,448550.46,2.57,102.98
2024-06-26 15:47:33,54.1,46957.62,56661.70,448669.23,2.88,118.70
2024-06-26 15:47:34,58.4,47485.41,56665.12,448789.23,3.42,119.88
2024-06-26 15:47:35,54.3,46602.23,56668.06,448908.22,2.93,118.86
2024-06-26 15:47:36,49.2,45717.48,56670.77,449027.16,2.71,118.84
2024-06-26 15:47:37,39.9,45964.05,56673.27,449145.23,2.50,117.96
2024-06-26 15:47:38,36.4,46168.25,56676.44,449264.04,3.17,118.73
2024-06-26 15:47:39,32.4,45449.57,56678.62,449381.34,2.17,117.21
2024-06-26 15:47:40,28.1,44512.36,56680.33,449534.18,1.71,152.75
2024-06-26 15:47:41,33.8,43639.73,56680.70,449534.55,0.37,0.37
2024-06-26 15:47:42,13.2,43180.46,56681.71,449535.56,1.01,1.01
2024-06-26 15:47:43,4.6,40080.45,56681.78,449535.63,0.07,0.07
2024-06-26 15:47:44,4.3,39561.88,56681.84,449535.69,0.06,0.06
2024-06-26 15:47:45,3.9,39569.23,56681.91,449535.76,0.07,0.07
2024-06-26 15:47:46,4.2,39565.48,56681.96,449535.81,0.05,0.05
2024-06-26 15:47:47,5.1,39564.21,56682.41,449536.26,0.45,0.45
2024-06-26 15:47:48,5.8,39565.04,56682.51,449536.36,0.10,0.09
2024-06-26 15:47:49,5.3,39567.59,56682.56,449536.41,0.05,0.05
2024-06-26 15:47:50,6.0,39567.74,56682.61,449536.46,0.04,0.04
2024-06-26 15:47:51,4.1,39563.18,56683.04,449536.89,0.43,0.43
2024-06-26 15:47:52,2.5,39563.75,56683.10,449536.95,0.06,0.06
2024-06-26 15:47:53,4.7,39563.64,56683.15,449537.00,0.05,0.05
2024-06-26 15:47:54,3.1,39563.39,56683.21,449537.06,0.06,0.06
2024-06-26 15:47:55,6.3,39563.98,56683.36,449537.21,0.15,0.15
2024-06-26 15:47:56,12.7,9581.47,56683.41,449537.26,0.05,0.05
2024-06-26 15:47:57,7.3,6354.39,56683.41,449537.26,0.00,0.00
2024-06-26 15:47:59,5.1,6110.71,56683.41,449537.26,0.00,0.00
2024-06-26 15:48:00,4.1,5638.39,56683.42,449537.27,0.00,0.00
2024-06-26 15:48:01,4.1,5641.86,56683.42,449537.27,0.00,0.00
2024-06-26 15:48:02,4.2,5638.72,56683.42,449537.27,0.00,0.00
2024-06-26 15:48:03,4.5,5638.71,56683.42,449537.27,0.00,0.00
2024-06-26 15:48:04,2.3,5638.22,56683.42,449537.27,0.00,0.00
2024-06-26 15:48:05,2.3,5638.73,56683.42,449537.27,0.00,0.00
2024-06-26 15:48:06,2.4,5642.69,56683.42,449537.27,0.00,0.00
2024-06-26 15:48:07,2.6,5638.40,56683.42,449537.28,0.00,0.00
2024-06-26 15:48:08,1.8,5638.91,56683.43,449537.28,0.00,0.00
2024-06-26 15:48:09,2.2,5638.93,56683.43,449537.28,0.00,0.00
2024-06-26 15:48:10,1.8,5638.44,56683.43,449537.28,0.00,0.00
2024-06-26 15:48:11,2.6,5638.75,56683.43,449537.28,0.00,0.00
2024-06-26 15:48:12,2.3,5638.77,56683.43,449537.28,0.00,0.00
2024-06-26 15:48:13,1.5,5638.78,56683.43,449537.28,0.00,0.00
2024-06-26 15:48:14,1.7,5638.26,56683.43,449537.28,0.00,0.00
2024-06-26 15:48:15,2.3,5638.51,56683.43,449537.28,0.00,0.00
2024-06-26 15:48:16,15.8,5638.52,56683.43,449537.28,0.00,0.00
2024-06-26 15:48:17,3.6,5638.05,56683.44,449537.29,0.00,0.00
2024-06-26 15:48:18,3.7,5638.56,56683.44,449537.29,0.00,0.00
2024-06-26 15:48:19,4.9,5638.56,56683.44,449537.34,0.00,0.05
2024-06-26 15:48:20,3.8,5643.14,56683.44,449537.34,0.00,0.00
2024-06-26 15:48:21,3.8,5644.42,56683.44,449537.34,0.00,0.00
2024-06-26 15:48:22,2.3,5639.54,56683.44,449537.34,0.00,0.00
2024-06-26 15:48:23,1.0,5638.86,56683.44,449537.34,0.00,0.00
2024-06-26 15:48:24,1.4,5638.83,56683.45,449537.34,0.00,0.00
